code,month_label,rental_percentage
2353,2,0.0005287229450872899
2353,3,0.0005736736431042331
2353,4,0.0005681344484304233
2353,5,0.00047501239211162493
2353,6,0.00043657125058195695
2353,7,0.000514567440608826
2353,8,0.0007000568922315877
2353,9,0.0004997383354345249
2353,10,0.0005677459008895638
2353,11,0.0007410786653038934
2353,12,0.0007170276374542709
2354,1,0.00022242872823123626
2354,2,0.000188947217268063
2354,3,0.00025212349478935433
2354,4,0.00019385902435533562
2354,5,0.00017634820089961698
2354,6,0.0002592918433247676
2354,7,0.00025637459055068715
2354,8,0.00020376295710487134
2354,9,0.0003030865067012459
2354,10,0.00023853731267162653
2354,11,0.00025150878694701017
2354,12,0.0001567361263423718
2355,1,0.0011712073326140303
2355,2,0.0012603896367381138
2355,3,0.001202667949415334
2355,4,0.0011636429939104135
2355,5,0.0010171463317821146
2355,6,0.001031368514183181
2355,7,0.0009518588521509556
2355,8,0.00047715394605629506
2355,9,0.0011172725265089735
2355,10,0.001295615136394772
2355,11,0.001412909808362651
2355,12,0.001238201985135677
2356,1,0.00028740927425742474
2356,2,0.00032215071571561145
2356,3,0.0003956575836927792
2356,4,0.0003981113602921176
2356,5,0.00034143233626542655
2356,6,0.00046473713771627676
2356,7,0.0004772931207060665
2356,8,0.00028194013150246967
2356,9,0.00041336397404274797
2356,10,0.0004344594368646889
2356,11,0.00039517971381191567
2356,12,0.00032395672610519813
2357,1,0.0005133340073075835
2357,2,0.000528992761469833
2357,3,0.0004064508795790565
2357,4,0.00035774224786867185
2357,5,0.00029572709167694834
2357,6,0.00027586001222730863
2357,7,0.00028728500217736573
2357,8,0.0003691942688137768
2357,9,0.00018962752794866985
2357,10,0.0003465030984122999
2357,11,0.0004028573224498618
2357,12,0.00043413417190683054
2358,1,0.00043033305830318257
2358,2,0.0002916799901782292
2358,3,0.0002985341292847566
2358,4,0.0003333162350629122
2358,5,0.00026500153556397534
2358,6,0.00035207358917899753
2358,7,0.0003591062527217072
2358,8,0.0002479084948395703
2358,9,0.0004552422138906638
2358,10,0.00046684266129420887
2358,11,0.0004486475196205294
2358,12,0.00046516932199096723
2359,1,0.00029227718731264507
2359,2,0.0003032262705484335
2359,3,0.00029058194272916973
2359,4,0.00033432317877396653
2359,5,0.0003218324912689056
2359,6,0.00036532812430103035
2359,7,0.00039365318336328917
